paper_a,paper_b,similarity
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Symbolic Discovery of Optimization Algorithms,0.720065
Adam A Method for Stochastic Optimization,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.711777
End to End Object Detection with Transformers,Learning Transferable Visual Models From Natural Language Supervision,0.685425
Language Models are Few Shot Learners,SELF-INSTRUCT Aligning Language Models,0.684884
Attention Is All You Need,BERT Pretraining of Deep Bidirectional Transformers for,0.669575
Deep Reinforcement Learning from Human Preferences,Proximal Policy Optimization Algorithms,0.666052
Robust Speech Recognition via Large-Scale Weak Supervision,wav2vec 2.0 A Framework for Self-Supervised,0.65868
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Symbolic Discovery of Optimization Algorithms,0.658272
HuBERT Self-Supervised Speech Representation,wav2vec 2.0 A Framework for Self-Supervised,0.655833
BERT Pretraining of Deep Bidirectional Transformers for,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.653247
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,DECOUPLED WEIGHT DECAY REGULARIZATION,0.649725
An Image is Worth 16x16 words,Learning Transferable Visual Models From Natural Language Supervision,0.645779
DECOUPLED WEIGHT DECAY REGULARIZATION,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.640881
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Adam A Method for Stochastic Optimization,0.635361
Language Models are Few Shot Learners,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.635034
Deep Reinforcement Learning from Human Preferences,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.625161
An Image is Worth 16x16 words,End to End Object Detection with Transformers,0.624644
An Image is Worth 16x16 words,Symbolic Discovery of Optimization Algorithms,0.612965
Language Models are Few Shot Learners,Learning Transferable Visual Models From Natural Language Supervision,0.612759
Adam A Method for Stochastic Optimization,DECOUPLED WEIGHT DECAY REGULARIZATION,0.612508
BERT Pretraining of Deep Bidirectional Transformers for,Language Models are Few Shot Learners,0.612423
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,SELF-INSTRUCT Aligning Language Models,0.6093
An Image is Worth 16x16 words,Attention Is All You Need,0.601964
AST Audio Spectrogram Transformer,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.601302
End to End Object Detection with Transformers,Masked Autoencoders Are Scalable Vision Learners,0.600301
Implementing the Deep Q-Network,Proximal Policy Optimization Algorithms,0.599862
HuBERT Self-Supervised Speech Representation,Robust Speech Recognition via Large-Scale Weak Supervision,0.598731
LLaMA Open and Efficient Foundation Language Models,Language Models are Few Shot Learners,0.595048
Learning Transferable Visual Models From Natural Language Supervision,Masked Autoencoders Are Scalable Vision Learners,0.594413
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Attention Is All You Need,0.59211
End to End Object Detection with Transformers,Grounding DINO,0.589039
LLaMA Open and Efficient Foundation Language Models,SELF-INSTRUCT Aligning Language Models,0.585905
Grounding DINO,Learning Transferable Visual Models From Natural Language Supervision,0.583609
Attention Is All You Need,Language Models are Few Shot Learners,0.583304
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.581366
AST Audio Spectrogram Transformer,An Image is Worth 16x16 words,0.579641
Deep Reinforcement Learning from Human Preferences,VOYAGER An Open-Ended Embodied Agent,0.578193
BERT Pretraining of Deep Bidirectional Transformers for,SELF-INSTRUCT Aligning Language Models,0.574969
Attention Is All You Need,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.574576
Language Models are Few Shot Learners,Robust Speech Recognition via Large-Scale Weak Supervision,0.572965
AST Audio Spectrogram Transformer,Robust Speech Recognition via Large-Scale Weak Supervision,0.569105
An Image is Worth 16x16 words,BERT Pretraining of Deep Bidirectional Transformers for,0.565123
Masked Autoencoders Are Scalable Vision Learners,Symbolic Discovery of Optimization Algorithms,0.563559
Learning Transferable Visual Models From Natural Language Supervision,Symbolic Discovery of Optimization Algorithms,0.562035
Deep Reinforcement Learning from Human Preferences,Implementing the Deep Q-Network,0.559092
An Image is Worth 16x16 words,Masked Autoencoders Are Scalable Vision Learners,0.558949
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,Robust Speech Recognition via Large-Scale Weak Supervision,0.556394
DECOUPLED WEIGHT DECAY REGULARIZATION,Symbolic Discovery of Optimization Algorithms,0.555871
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.554351
MusicLM Generating Music From Text,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.553013
Attention Is All You Need,SELF-INSTRUCT Aligning Language Models,0.552586
BERT Pretraining of Deep Bidirectional Transformers for,Learning Transferable Visual Models From Natural Language Supervision,0.550839
Attention Is All You Need,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.549013
Implementing the Deep Q-Network,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.54884
Adam A Method for Stochastic Optimization,Symbolic Discovery of Optimization Algorithms,0.546229
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,wav2vec 2.0 A Framework for Self-Supervised,0.545539
Learning Transferable Visual Models From Natural Language Supervision,SELF-INSTRUCT Aligning Language Models,0.543796
Adam A Method for Stochastic Optimization,Proximal Policy Optimization Algorithms,0.543693
BERT Pretraining of Deep Bidirectional Transformers for,wav2vec 2.0 A Framework for Self-Supervised,0.543081
BERT Pretraining of Deep Bidirectional Transformers for,HuBERT Self-Supervised Speech Representation,0.541938
Mastering Atari Go Chess and Shogi by Planning with a learned model,VOYAGER An Open-Ended Embodied Agent,0.538707
AST Audio Spectrogram Transformer,wav2vec 2.0 A Framework for Self-Supervised,0.538707
End to End Object Detection with Transformers,Symbolic Discovery of Optimization Algorithms,0.537531
HuBERT Self-Supervised Speech Representation,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.532862
Mastering Atari Go Chess and Shogi by Planning with a learned model,Proximal Policy Optimization Algorithms,0.531733
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Symbolic Discovery of Optimization Algorithms,0.530786
BERT Pretraining of Deep Bidirectional Transformers for,Robust Speech Recognition via Large-Scale Weak Supervision,0.52572
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Proximal Policy Optimization Algorithms,0.522815
SELF-INSTRUCT Aligning Language Models,VOYAGER An Open-Ended Embodied Agent,0.520653
Robust Speech Recognition via Large-Scale Weak Supervision,SELF-INSTRUCT Aligning Language Models,0.518718
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Language Models are Few Shot Learners,0.517179
AST Audio Spectrogram Transformer,HuBERT Self-Supervised Speech Representation,0.515388
Language Models are Few Shot Learners,Symbolic Discovery of Optimization Algorithms,0.51417
Attention Is All You Need,Symbolic Discovery of Optimization Algorithms,0.512309
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,SELF-INSTRUCT Aligning Language Models,0.510959
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Proximal Policy Optimization Algorithms,0.505794
Learning Transferable Visual Models From Natural Language Supervision,Robust Speech Recognition via Large-Scale Weak Supervision,0.503635
Proximal Policy Optimization Algorithms,VOYAGER An Open-Ended Embodied Agent,0.501291
LLaMA Open and Efficient Foundation Language Models,Robust Speech Recognition via Large-Scale Weak Supervision,0.500965
Adam A Method for Stochastic Optimization,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.500815
SELF-INSTRUCT Aligning Language Models,Symbolic Discovery of Optimization Algorithms,0.499835
BERT Pretraining of Deep Bidirectional Transformers for,Symbolic Discovery of Optimization Algorithms,0.498022
Attention Is All You Need,LLaMA Open and Efficient Foundation Language Models,0.494296
Attention Is All You Need,Masked Autoencoders Are Scalable Vision Learners,0.493978
Attention Is All You Need,Robust Speech Recognition via Large-Scale Weak Supervision,0.493265
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.489461
Deep Reinforcement Learning from Human Preferences,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.487672
AST Audio Spectrogram Transformer,Attention Is All You Need,0.483745
DECOUPLED WEIGHT DECAY REGULARIZATION,Masked Autoencoders Are Scalable Vision Learners,0.48201
Masked Autoencoders Are Scalable Vision Learners,Segment Anything,0.48056
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Proximal Policy Optimization Algorithms,0.47937
An Image is Worth 16x16 words,Language Models are Few Shot Learners,0.478631
MusicLM Generating Music From Text,Robust Speech Recognition via Large-Scale Weak Supervision,0.476507
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,An Image is Worth 16x16 words,0.475262
Grounding DINO,Symbolic Discovery of Optimization Algorithms,0.47384
Masked Autoencoders Are Scalable Vision Learners,SELF-INSTRUCT Aligning Language Models,0.471152
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Language Models are Few Shot Learners,0.468948
HuBERT Self-Supervised Speech Representation,Masked Autoencoders Are Scalable Vision Learners,0.468735
Attention Is All You Need,wav2vec 2.0 A Framework for Self-Supervised,0.46821
BERT Pretraining of Deep Bidirectional Transformers for,Masked Autoencoders Are Scalable Vision Learners,0.465282
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.465197
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Implementing the Deep Q-Network,0.464651
DECOUPLED WEIGHT DECAY REGULARIZATION,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.464388
Proximal Policy Optimization Algorithms,Symbolic Discovery of Optimization Algorithms,0.464121
AST Audio Spectrogram Transformer,BERT Pretraining of Deep Bidirectional Transformers for,0.463804
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,Robust Speech Recognition via Large-Scale Weak Supervision,0.462418
Learning Transferable Visual Models From Natural Language Supervision,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.462333
BERT Pretraining of Deep Bidirectional Transformers for,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.460299
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Implementing the Deep Q-Network,0.458734
Attention Is All You Need,Learning Transferable Visual Models From Natural Language Supervision,0.458146
Implementing the Deep Q-Network,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.457163
LLaMA Open and Efficient Foundation Language Models,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.456575
BERT Pretraining of Deep Bidirectional Transformers for,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.456541
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.454701
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.453053
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,BERT Pretraining of Deep Bidirectional Transformers for,0.451435
MusicLM Generating Music From Text,wav2vec 2.0 A Framework for Self-Supervised,0.450689
An Image is Worth 16x16 words,DECOUPLED WEIGHT DECAY REGULARIZATION,0.449956
BERT Pretraining of Deep Bidirectional Transformers for,End to End Object Detection with Transformers,0.449839
BERT Pretraining of Deep Bidirectional Transformers for,LLaMA Open and Efficient Foundation Language Models,0.447038
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Symbolic Discovery of Optimization Algorithms,0.445314
Language Models are Few Shot Learners,wav2vec 2.0 A Framework for Self-Supervised,0.444323
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.443956
Masked Autoencoders Are Scalable Vision Learners,wav2vec 2.0 A Framework for Self-Supervised,0.443894
