paper_id,topic,topic_label,top_words
AST Audio Spectrogram Transformer,0,"speech, audio, text, using, model","speech, audio, text, using, model"
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
Adam A Method for Stochastic Optimization,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
An Image is Worth 16x16 words,2,"image, object, detection, vision, model","image, object, detection, vision, model"
Attention Is All You Need,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
BERT Pretraining of Deep Bidirectional Transformers for,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
DECOUPLED WEIGHT DECAY REGULARIZATION,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
Deep Reinforcement Learning from Human Preferences,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
End to End Object Detection with Transformers,2,"image, object, detection, vision, model","image, object, detection, vision, model"
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
Grounding DINO,2,"image, object, detection, vision, model","image, object, detection, vision, model"
HuBERT Self-Supervised Speech Representation,0,"speech, audio, text, using, model","speech, audio, text, using, model"
INCORPORATING NESTEROV MOMENTUM INTO ADAM,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
Implementing the Deep Q-Network,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
LLaMA Open and Efficient Foundation Language Models,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
Language Models are Few Shot Learners,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
Learning Transferable Visual Models From Natural Language Supervision,2,"image, object, detection, vision, model","image, object, detection, vision, model"
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
Masked Autoencoders Are Scalable Vision Learners,2,"image, object, detection, vision, model","image, object, detection, vision, model"
Mastering Atari Go Chess and Shogi by Planning with a learned model,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
MusicLM Generating Music From Text,0,"speech, audio, text, using, model","speech, audio, text, using, model"
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0,"speech, audio, text, using, model","speech, audio, text, using, model"
Proximal Policy Optimization Algorithms,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
Robust Speech Recognition via Large-Scale Weak Supervision,0,"speech, audio, text, using, model","speech, audio, text, using, model"
SELF-INSTRUCT Aligning Language Models,3,"models, language, tasks, model, parametric","models, language, tasks, model, parametric"
Segment Anything,2,"image, object, detection, vision, model","image, object, detection, vision, model"
Symbolic Discovery of Optimization Algorithms,1,"lion, adam, decay, weight, momentum","lion, adam, decay, weight, momentum"
VOYAGER An Open-Ended Embodied Agent,4,"complex, policy, voyager, environment, grpo","complex, policy, voyager, environment, grpo"
wav2vec 2.0 A Framework for Self-Supervised,0,"speech, audio, text, using, model","speech, audio, text, using, model"
